file,type,competition,stage,rewire,fullBrainSel,meanSel,shareSelCells,sel90perc,sel90m50,bestPredict,fullBrainSel_SC,meanSel_SC,shareSelCells_SC,sel90perc_SC,sel90m50_SC,rPosSel,rDirWei,mDistWei,rSelClu,rCluSpk,rSelNet,rSelRnt,rSelGth,rSelIns,selAssort,shESelGrow,selEGrowth,gammaIn,gammaOu,deg0,deg12,deg5p,nPCAto80,nRichTo80F,nRichTo80C,nClusters,clusterPreference,clusterCompactness,clustPrefPval,eff,modul,clust,flow,revFlow,cycl,recip,rSelSpk,rSelfcSelfs,rSelfcSelsc
180801104357-slide-rand,rand,slide,1,original,0.41612,0.46688,0.88889,1.0664,0.64268,0.72,0.022204,0.029369,0.55556,0.39657,0.34953,0.76631,0.0015371,1.0133,-0.031109,-0.032728,0.067951,-0.058462,0.10022,0.058588,-0.013567,NaN,0.00026451,-1.3031,-1.6468,0.54762,0.29762,0.095238,32,29,26,16,0.77593,0.56966,3.328e-14,0.022885,0.032425,0.015835,0.010649,0.011562,0.031606,0.74983,0.13277,0.56205,0.77761
180801104357-slide-rand,rand,slide,2,original,0.66962,0.6609,0.90123,1.3317,0.68785,0.81,0.065783,0.063521,0.54321,0.56501,0.48136,0.76117,-7.6862e-05,1.0044,-0.1571,-0.5036,-0.078934,-0.044757,-0.024229,-0.050522,-0.020872,NaN,-2.3253e-05,-1.89,-1.9448,0.34884,0.53488,0.05814,34,29,26,17,0.781,0.54319,2.6244e-05,0.032934,0.069877,0.0135,0.013633,0.012243,0.00047969,0.62954,0.15626,0.43663,0.84952
180801104357-slide-rand,rand,slide,3,original,0.79,0.73922,0.95062,1.3292,0.63638,0.78,0.081039,0.081744,0.61728,0.50177,0.41715,0.67986,4.8819e-05,0.9786,-0.12784,-0.75997,0.052841,0.01146,0.063393,0.081385,-0.023472,0.5,0.00013299,-1.9657,-1.9496,0.21839,0.70115,0.057471,38,30,33,13,1.1947,0.60373,0.091581,0.057671,0.18224,0.0087779,0.011743,0.00719,7.5881e-05,0.27086,0.15202,0.34846,0.86066
180801104357-slide-rand,rand,slide,4,original,0.56637,0.56904,0.92593,1.0996,0.5675,0.735,-0.0013779,-0.010911,0.45679,0.3982,0.43039,0.3835,-3.5174e-05,0.98541,-0.11454,-0.58323,-0.011588,0.18317,-0.19106,-0.052537,-0.050803,0.40678,-0.00065596,-2.0022,-2.0012,0.14773,0.77273,0.056818,41,30,37,10,1.1145,0.68813,0.51687,0.088887,0.37868,0.0040311,0.025655,0.042508,0.00012204,0.14687,0.2053,0.32566,0.8525
180801104357-slide-rand,rand,slide,5,original,0.49709,0.51909,0.96296,1.0047,0.56057,0.725,0.0039442,-0.00095573,0.51852,0.40159,0.39508,0.2662,5.7946e-06,0.97657,0.053257,-0.61081,0.0082411,-0.034984,0.083164,0.043546,0.031323,0.5,0.00024306,-2.0022,-2.0012,0.14773,0.77273,0.056818,42,31,41,13,1.0367,0.57932,0.89219,0.11764,0.4685,0.001563,0.020603,0.026432,0.00014842,0.12419,0.18426,0.3363,0.83522
180801104404-slide-rand,rand,slide,1,original,0.52156,0.57501,0.85185,1.2268,0.65002,0.725,0.015154,0.016656,0.5679,0.43531,0.37196,0.81368,-0.0017515,1.0112,0.058541,-0.084192,-0.14482,0.075105,-0.16368,-0.13397,-0.010179,NaN,-0.00050952,-1.689,-1.5622,0.43529,0.38824,0.058824,29,27,24,17,0.78333,0.61679,1.4942e-12,0.023083,0.026273,0.015751,0.011848,0.011089,0.022787,0.73688,0.065124,0.56094,0.78673
180801104404-slide-rand,rand,slide,2,original,0.4902,0.53253,0.88889,1.155,0.65186,0.72,-0.026674,-0.025486,0.51852,0.39126,0.38714,0.77973,3.1647e-05,1.016,0.20091,-0.44621,-0.020094,-0.13003,0.093273,-0.01924,0.0021082,0,0.00011082,-1.9796,-1.9359,0.27586,0.5977,0.057471,32,29,27,12,0.89285,0.62488,0.036225,0.033469,0.067116,0.013319,0.011469,0.013303,0.00016585,0.62746,0.073166,0.49352,0.77347
180801104404-slide-rand,rand,slide,3,original,0.62466,0.60988,0.96296,1.0996,0.50198,0.685,-0.0069622,-0.021081,0.51852,0.31124,0.30384,0.64528,0.00011597,1.0226,0.116,-0.51765,0.22832,-0.036935,0.19357,0.25278,-0.037295,0.63158,0.00021899,-1.9848,-1.9657,0.20455,0.71591,0.056818,38,30,34,17,0.60742,0.59221,0.0113,0.058336,0.23883,0.0079253,0.0070965,0.0066679,0.00013613,0.32198,0.16503,0.43123,0.73213
180801104404-slide-rand,rand,slide,4,original,0.51367,0.51864,0.95062,0.9768,0.47238,0.705,-0.015368,-0.022842,0.45679,0.24705,0.27747,0.3007,-2.0174e-05,1.0281,0.010872,-0.4414,-0.083084,0.18527,-0.17199,-0.094631,-0.0071354,0.50847,-0.00046444,-1.9746,-2.0022,0.13793,0.78161,0.057471,41,31,38,15,0.65107,0.63646,0.1167,0.091729,0.44005,0.0034296,0.024098,0.019436,0.00019881,0.21133,0.17079,0.36322,0.76437
180801104404-slide-rand,rand,slide,5,original,0.43593,0.47982,0.92593,0.95362,0.45519,0.68,-0.026695,-0.038884,0.44444,0.24374,0.29733,0.21941,3.395e-05,1.0188,-0.083347,-0.3626,0.080466,0.070463,-0.005025,0.11478,0.045267,0.53086,-1.1504e-05,-2.0012,-1.987,0.13636,0.78409,0.056818,40,30,38,20,0.69444,0.52997,0.32775,0.12065,0.48532,0.0012719,0.017218,0.029317,0.00023137,0.18841,0.19546,0.34808,0.7721
180801104412-slide-rand,rand,slide,1,original,0.52398,0.55861,0.90123,1.2247,0.74672,0.77,-0.0065312,-0.029595,0.49383,0.38509,0.41321,0.79793,0.00021159,1.0133,0.055197,0.026947,0.053495,0.0099519,0.044688,0.053823,-0.013062,NaN,0.00013361,-1.6595,-1.614,0.4881,0.34524,0.059524,35,31,28,9,0.90135,0.65151,2.2665e-05,0.022975,0.028124,0.015887,0.0093848,0.013185,0.028497,0.75124,0.30896,0.50577,0.80675
180801104412-slide-rand,rand,slide,2,original,0.65294,0.64344,0.92593,1.2775,0.67186,0.79,0.029634,0.0108,0.55556,0.46652,0.42015,0.82552,-0.00030187,1.0171,-0.078897,-0.41663,0.0094055,0.13962,-0.06322,0.0078049,0.021471,NaN,-7.9714e-05,-1.9796,-1.9263,0.27586,0.5977,0.057471,35,30,28,14,0.86862,0.63299,0.011035,0.032851,0.059474,0.0136,0.010536,0.0058314,0.00067501,0.66128,0.32882,0.41991,0.82117
180801104412-slide-rand,rand,slide,3,original,0.8038,0.73634,0.95062,1.3457,0.5967,0.77,0.049486,0.043781,0.5679,0.50569,0.46575,0.71275,-0.00011171,1.0072,-0.054213,-0.59725,-0.19967,-0.096568,-0.16221,-0.20793,-0.020051,0.33333,-0.00035084,-1.9772,-1.9841,0.21591,0.70455,0.056818,40,31,33,15,0.75924,0.58827,0.04063,0.058003,0.17487,0.0087429,0.027193,0.0075128,8.622e-05,0.31656,0.31949,0.29747,0.87959
180801104412-slide-rand,rand,slide,4,original,0.59831,0.56659,0.95062,1.014,0.42606,0.735,0.0098069,0.00074842,0.51852,0.36011,0.33034,0.5563,-7.5073e-05,1.01,0.018307,-0.5077,-0.10884,0.091328,-0.10517,-0.077974,0.048948,0.45283,-0.00037137,-1.9959,-1.9959,0.18182,0.73864,0.056818,43,32,37,12,0.86664,0.70285,0.49506,0.090796,0.37625,0.0038697,0.032331,0.03253,0.00018297,0.22395,0.37416,0.35601,0.8098
180801104412-slide-rand,rand,slide,5,original,0.4802,0.54037,0.96296,0.99171,0.47006,0.74,0.021131,0.021985,0.55556,0.33342,0.26189,0.39017,0.00025458,1.0047,-0.0037936,-0.56354,-0.085327,0.026633,-0.093567,-0.03902,0.16418,0.50633,-0.00044142,-1.9939,-1.987,0.11364,0.80682,0.056818,42,29,41,14,0.90118,0.59609,0.70817,0.1201,0.47624,0.0015291,0.043062,0.028244,0.00019945,0.16804,0.10254,0.39524,0.78802
180801104420-slide-rand,rand,slide,1,original,0.62287,0.67374,0.91358,1.3085,0.65663,0.77,0.0174,0.022541,0.58025,0.4956,0.44484,0.82112,0.001292,1.013,-0.10587,0.13792,0.10597,-0.15682,0.19874,0.093988,-0.0073165,NaN,0.00064502,-1.5454,-1.6218,0.5119,0.30952,0.059524,33,28,28,15,0.8333,0.53812,2.2808e-09,0.022957,0.028348,0.015876,0.0095449,0.015853,0.029075,0.75537,0.017034,0.45741,0.8109
180801104420-slide-rand,rand,slide,2,original,0.50225,0.51749,0.90123,1.0411,0.52191,0.7,0.0019881,-0.013167,0.54321,0.38107,0.36145,0.79501,-0.00025262,1.0077,-0.14207,-0.441,-0.043969,0.13471,-0.13538,-0.027033,0.0060303,NaN,-0.00017697,-1.9493,-1.9613,0.31034,0.56322,0.057471,32,29,26,10,0.84294,0.61518,0.0007913,0.033412,0.069027,0.01342,0.020737,0.0038732,0.00049313,0.64371,0.17035,0.43617,0.80384
180801104420-slide-rand,rand,slide,3,original,0.75643,0.70961,0.93827,1.2681,0.58793,0.855,0.053944,0.061338,0.61728,0.49587,0.39677,0.72431,-2.8911e-07,0.9918,-0.081336,-0.56077,0.070492,-0.054359,-0.0031591,0.0445,-0.0052598,0.375,-4.9509e-06,-1.9717,-1.9884,0.2069,0.71264,0.057471,40,31,34,15,0.86562,0.62825,0.29888,0.05738,0.16391,0.0083112,0.010357,0.010529,9.0596e-05,0.26128,0.083352,0.41881,0.81484
180801104420-slide-rand,rand,slide,4,original,0.67041,0.69215,0.97531,1.2657,0.6035,0.825,0.073566,0.084991,0.65432,0.49093,0.41814,0.52789,0.00014235,0.97941,0.033764,-0.60287,-0.0056792,-0.15137,0.067731,-0.018958,0.11368,0.42,0.00013915,-1.9994,-1.9792,0.17045,0.75,0.056818,41,30,38,17,0.59069,0.51637,0.081004,0.091725,0.35367,0.0038695,0.023095,0.012218,0.00013938,0.17479,0.10938,0.39608,0.79768
180801104420-slide-rand,rand,slide,5,original,0.56189,0.6197,0.96296,1.018,0.43632,0.775,0.063052,0.074831,0.62963,0.40212,0.33529,0.4635,8.0755e-05,0.9748,0.028319,-0.60307,-0.12401,-0.15872,0.014244,-0.089152,0.15788,0.43038,3.4566e-05,-2.0022,-1.9774,0.14773,0.77273,0.056818,42,30,40,10,0.85393,0.68668,0.51712,0.11787,0.44769,0.0014561,0.017406,0.01326,0.00015482,0.13234,0.11959,0.35678,0.77247
180801104427-slide-rand,rand,slide,1,original,0.53997,0.60743,0.93827,1.2292,0.66879,0.745,0.014554,0.017565,0.53086,0.38955,0.3524,0.81805,0.0024884,1.0158,0.1222,-0.084094,0.10483,-0.063065,0.12874,0.11056,-0.010481,NaN,0.00036697,-1.5379,-1.7032,0.50588,0.31765,0.058824,25,25,24,11,0.87724,0.70649,5.0981e-07,0.022866,0.027013,0.015925,0.015565,0.0098958,0.032824,0.74884,-0.038444,0.53619,0.7964
180801104427-slide-rand,rand,slide,2,original,0.51842,0.55932,0.91358,1.1486,0.59036,0.72,-0.011199,-0.030737,0.50617,0.33247,0.32322,0.81151,3.906e-05,1.017,0.10814,-0.34841,0.17437,0.094614,0.079982,0.17354,-0.019547,NaN,5.751e-05,-1.9792,-1.9092,0.27586,0.6092,0.057471,29,27,25,21,0.6805,0.52749,2.3485e-08,0.032872,0.07285,0.013563,0.0064388,0.0062136,0.00041306,0.61385,0.094878,0.47822,0.81137
180801104427-slide-rand,rand,slide,3,original,0.72625,0.71458,0.95062,1.2903,0.5426,0.75,0.056088,0.062851,0.59259,0.51668,0.42852,0.7719,-0.00019559,0.99487,0.15067,-0.48682,-0.042364,0.089196,-0.0697,-0.039497,-0.010881,0.5,-0.00014768,-1.969,-1.9857,0.28736,0.5977,0.057471,36,28,33,13,0.80937,0.58803,0.088159,0.054631,0.18003,0.0089725,0.0075873,0.0069963,7.6614e-05,0.27838,-0.036216,0.43219,0.84884
180801104427-slide-rand,rand,slide,4,original,0.63098,0.62865,0.96296,1.222,0.6042,0.76,0.045112,0.049062,0.55556,0.47629,0.4249,0.53792,-0.00015375,0.99121,0.14419,-0.61523,-0.024213,0.042549,0.015363,0.0034124,-0.0085348,0.5283,2.9473e-05,-1.9994,-1.9959,0.17045,0.75,0.056818,43,31,39,20,0.76381,0.50488,0.34705,0.089895,0.35133,0.0040959,0.013808,0.010795,9.7822e-05,0.12386,0.059161,0.34679,0.81427
180801104427-slide-rand,rand,slide,5,original,0.51656,0.56016,0.96296,0.97482,0.40205,0.755,0.028287,0.027793,0.51852,0.35333,0.33888,0.35859,-3.5584e-05,1.0131,0.047389,-0.48704,0.059849,-0.061148,0.085993,0.042149,0.088314,0.48052,0.00022018,-1.9985,-1.9939,0.125,0.79545,0.056818,42,30,40,17,0.56981,0.5528,0.12263,0.11972,0.45824,0.0016093,0.014121,0.015012,0.00010685,0.087578,0.078214,0.28504,0.80753
180801104434-slide-rand,rand,slide,1,original,0.39028,0.46735,0.85185,0.99552,0.57368,0.75,0.030312,0.04455,0.60494,0.43755,0.3532,0.73223,0.0024317,1.0146,0.12884,0.0049512,0.11465,-0.21003,0.28685,0.11727,-0.0166,NaN,0.00075597,-1.6841,-1.4288,0.4881,0.34524,0.059524,32,29,28,16,0.78028,0.52406,1.6936e-12,0.023025,0.028207,0.015793,0.01115,0.014682,0.025371,0.73817,0.037491,0.47329,0.79532
180801104434-slide-rand,rand,slide,2,original,0.5576,0.59219,0.92593,1.1878,0.58278,0.785,0.062762,0.088983,0.62963,0.47585,0.35725,0.78487,-0.00026953,1.0084,0.20637,-0.33442,-0.13633,-0.11506,-0.076007,-0.14849,-0.0010828,NaN,-9.194e-05,-1.9205,-1.9454,0.2907,0.59302,0.05814,34,30,29,20,0.75889,0.56651,8.4257e-06,0.032725,0.067463,0.013527,0.011224,0.0052306,0.0011127,0.65046,-0.00038188,0.49715,0.78808
180801104434-slide-rand,rand,slide,3,original,0.76177,0.69621,0.95062,1.1454,0.4066,0.795,0.061306,0.053175,0.54321,0.456,0.36513,0.70387,-0.00045022,1.0077,-0.034868,-0.63546,-0.031748,0.0023818,-0.047195,-0.055992,-0.035263,0.27273,-0.00016533,-1.9717,-1.9393,0.2069,0.71264,0.057471,40,31,33,12,0.90975,0.70774,0.45011,0.058054,0.19297,0.0084729,0.023431,0.01792,8.9596e-05,0.29973,0.22391,0.30203,0.85468
180801104434-slide-rand,rand,slide,4,original,0.61237,0.61642,0.98765,1.0496,0.44741,0.78,0.028523,0.029607,0.49383,0.38838,0.3886,0.51786,-0.00032595,0.99814,-0.028816,-0.39104,-0.13087,0.15181,-0.21273,-0.13996,0.0044397,0.46154,-0.00059942,-2.0015,-1.9807,0.15909,0.76136,0.056818,42,31,40,13,1.4343,0.65407,0.04729,0.090785,0.37981,0.0035727,0.024294,0.012661,0.00014228,0.16317,0.043922,0.29656,0.76184
180801104434-slide-rand,rand,slide,5,original,0.48759,0.53486,0.98765,0.96649,0.4685,0.755,0.0099081,0.0090157,0.46914,0.35498,0.37556,0.35152,4.804e-05,1.0139,0.01287,-0.41527,-0.122,-0.002765,-0.11085,-0.096946,0.048717,0.44444,-0.00058628,-2.0015,-2.0012,0.15909,0.76136,0.056818,42,31,41,17,1.144,0.57895,0.62201,0.11854,0.48159,0.0014074,0.045429,0.027199,0.00016706,0.14007,0.14297,0.28149,0.72271
180801104441-slide-rand,rand,slide,1,original,0.56212,0.60059,0.88889,1.198,0.58644,0.765,0.020204,0.024965,0.54321,0.42378,0.3388,0.80198,0.0014579,1.0145,0.1379,0.00014637,0.29685,0.10668,0.13614,0.30302,-0.0054022,NaN,0.00042888,-1.6296,-1.1738,0.48235,0.31765,0.058824,36,31,28,13,0.85441,0.59717,8.7794e-09,0.022841,0.027468,0.015955,0.010798,0.010949,0.029908,0.75805,0.12783,0.50833,0.81192
180801104441-slide-rand,rand,slide,2,original,0.51309,0.54234,0.85185,1.141,0.57044,0.745,0.0017582,0.0028829,0.46914,0.45726,0.4639,0.81052,0.00011723,1.0148,0.13496,-0.31013,-0.0037215,0.01993,-0.043594,-0.0089917,-0.0075881,NaN,-5.55e-05,-1.9816,-1.9429,0.26437,0.63218,0.057471,36,31,28,13,0.87066,0.65295,0.0036507,0.032863,0.069102,0.013592,0.01555,0.010121,0.0010742,0.66165,0.073043,0.4857,0.82276
180801104441-slide-rand,rand,slide,3,original,0.73067,0.67927,0.92593,1.245,0.557,0.78,0.023228,0.02276,0.49383,0.49388,0.51254,0.73885,0.00015818,1.0129,0.20481,-0.3945,-0.085662,-0.064887,0.02949,-0.067703,-0.014793,0.41667,4.6635e-05,-1.9657,-1.9754,0.21839,0.70115,0.057471,40,32,35,13,0.7226,0.67208,0.021396,0.05696,0.19915,0.0085233,0.011414,0.007206,8.7593e-05,0.26995,0.11962,0.47648,0.85914
180801104441-slide-rand,rand,slide,4,original,0.60531,0.61457,0.97531,1.138,0.55971,0.74,0.01697,0.012847,0.51852,0.39868,0.3892,0.58016,5.1415e-05,1.0184,0.087056,-0.46457,-0.0044311,-0.041816,0.12929,0.11127,0.015936,0.43396,0.00021192,-2.0022,-2.0015,0.14773,0.77273,0.056818,42,31,39,13,0.60104,0.66394,0.03695,0.093458,0.37318,0.0038608,0.020241,0.011303,0.00010836,0.13316,0.12799,0.41822,0.78328
180801104441-slide-rand,rand,slide,5,original,0.52982,0.57221,0.98765,1.064,0.53028,0.77,0.026371,0.028367,0.51852,0.40033,0.39558,0.44514,0.00017932,1.0081,0.18811,-0.078989,0.15168,-0.17529,0.24761,0.22912,0.052229,0.45,0.00058461,-1.9774,-1.9774,0.090909,0.82955,0.056818,43,31,41,17,0.4498,0.56361,0.057987,0.12499,0.45242,0.0012923,0.022157,0.016038,0.00010865,0.086547,0.14043,0.41027,0.79374
180801104449-slide-rand,rand,slide,1,original,0.45666,0.51371,0.90123,1.0355,0.52024,0.745,0.045201,0.061372,0.61728,0.44457,0.3291,0.81534,0.0003102,1.0082,-0.071155,0.0064229,-0.0491,-0.038481,-0.0010904,-0.04816,-0.0092172,NaN,-3.069e-06,-1.8873,-1.1174,0.36047,0.5,0.05814,35,30,29,13,0.83921,0.67068,3.0028e-10,0.022987,0.026809,0.015841,0.011629,0.013009,0.029046,0.74969,0.10481,0.52746,0.79935
180801104449-slide-rand,rand,slide,2,original,0.55754,0.56781,0.87654,1.1391,0.62736,0.76,0.043539,0.038523,0.59259,0.47325,0.43133,0.80791,0.00026604,1.0008,-0.042375,-0.50568,-0.010534,-0.011861,-0.0040301,-0.008262,-0.0036011,NaN,-6.4007e-06,-1.9236,-1.9297,0.33333,0.52874,0.057471,30,27,26,14,0.86236,0.64223,0.0035145,0.032825,0.067082,0.013558,0.019164,0.0056206,0.0013263,0.63726,0.17552,0.4987,0.85106
180801104449-slide-rand,rand,slide,3,original,0.79177,0.75753,0.92593,1.3844,0.65587,0.835,0.041276,0.037875,0.59259,0.52183,0.47151,0.72153,-0.00021433,0.97867,-0.13942,-0.55367,-0.084591,0.034435,-0.05291,-0.0449,0.00016229,0.53846,-0.00015714,-1.9913,-1.9816,0.22989,0.67816,0.057471,40,31,34,17,0.81612,0.59689,0.18892,0.054214,0.19834,0.0088684,0.017975,0.024379,9.0984e-05,0.29927,0.26522,0.39912,0.83877
180801104449-slide-rand,rand,slide,4,original,0.53002,0.53524,0.95062,0.96238,0.44618,0.625,0.0041621,-0.0013998,0.50617,0.2889,0.28861,0.47864,-5.7035e-05,0.97326,0.003853,-0.66367,-0.15153,-0.36285,0.11505,-0.090003,0.026199,0.45098,0.00044915,-1.9785,-1.991,0.14943,0.77011,0.057471,41,31,39,14,0.653,0.68575,0.078505,0.086352,0.36571,0.0042437,0.050914,0.027888,0.00015877,0.2029,0.21354,0.43102,0.79163
180801104449-slide-rand,rand,slide,5,original,0.44987,0.49003,0.93827,0.89997,0.45018,0.64,-0.017323,-0.027277,0.45679,0.24863,0.27073,0.37817,7.0123e-06,0.96473,-0.0035524,-0.6086,0.18783,-0.014609,0.18455,0.1761,0.090652,0.47297,0.00036584,-1.9959,-1.9985,0.18182,0.73864,0.056818,42,31,39,15,0.96179,0.63015,0.88452,0.11306,0.47638,0.0017166,0.0097328,0.014598,0.00021377,0.18306,0.2705,0.34774,0.78209
180801104456-slide-rand,rand,slide,1,original,0.53697,0.58367,0.90123,1.1563,0.55541,0.705,0.017172,0.012929,0.54321,0.43796,0.42709,0.8259,9.7789e-05,1.0172,-0.1111,-0.13382,-0.12788,-0.068093,-0.038692,-0.10672,-0.0047168,NaN,-0.00010925,-1.6202,-1.558,0.5119,0.33333,0.059524,31,29,26,21,0.80949,0.51846,2.9293e-09,0.022776,0.025533,0.015935,0.010081,0.01172,0.030508,0.75853,0.11024,0.54867,0.81578
180801104456-slide-rand,rand,slide,2,original,0.66279,0.66009,0.91358,1.2711,0.60894,0.75,0.059181,0.062151,0.54321,0.5712,0.52827,0.80728,-1.8907e-05,1.0138,0.0094478,-0.48436,-0.11539,0.037753,-0.11676,-0.1094,-0.0016534,NaN,-0.00014778,-1.8926,-1.9588,0.32558,0.55814,0.05814,34,30,28,18,0.77133,0.59586,4.6062e-05,0.033366,0.067326,0.013512,0.0072989,0.0056459,0.00050264,0.65462,0.13246,0.52239,0.83382
180801104456-slide-rand,rand,slide,3,original,0.71315,0.68764,0.97531,1.2565,0.60148,0.75,0.042994,0.04894,0.53086,0.4682,0.44163,0.72085,-4.6661e-05,1.0099,0.10422,-0.55699,0.035608,0.092427,-0.034338,0.040356,-0.056162,0.5,-5.881e-05,-1.9717,-1.8821,0.2069,0.71264,0.057471,39,31,34,11,0.77198,0.67829,0.042378,0.057349,0.19406,0.008523,0.016852,0.014548,9.7969e-05,0.3032,0.10167,0.4942,0.83613
